GO_Slim_ID,GO_Slim_Name,Frequency
GO:0048856,anatomical structure development,21
GO:0002376,immune system process,21
GO:0030154,cell differentiation,10
GO:0043226,organelle,6
GO:0016192,vesicle-mediated transport,3
GO:0048870,cell motility,3
GO:0098772,molecular function regulator activity,2
GO:0031410,cytoplasmic vesicle,2
GO:0098542,defense response to other organism,1
GO:0005829,cytosol,1
GO:0023052,signaling,1
GO:0048018,receptor ligand activity,1
GO:0006629,lipid metabolic process,1
GO:0005576,extracellular region,1
GO:0030163,protein catabolic process,1
GO:0042060,wound healing,1
GO:0005615,extracellular space,1
GO:0005768,endosome,1
GO:0006355,regulation of DNA-templated transcription,1
GO:0060090,molecular adaptor activity,1
GO:0005886,plasma membrane,1
GO:0006886,intracellular protein transport,1
